"","TDATE","PNAME","PCODE","TCODE","REGION_CODE","REGION_NAME","ZSP_CODE","P_VC_UNREG_AVG","P_NC_UNREG_AVG"
"673",2017-01-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENS18","24","Ивановская область","FZZNOE24",1220.88,424295
"674",2017-01-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENS19","24","Ивановская область","FZZNOE24",1249.07,419920.34
"675",2017-01-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENS20","24","Ивановская область","FZZNOE24",1212.53,423354.07
"676",2017-01-01,"АО ""Каббалкэнерго""","KABBAGEN","PKABBAGE","83","Кабардино-Балкарская Республика","FZYUOE16",780.96,291319.05
"677",2017-01-01,"ПАО ""МРСК Юга""","MRSKYUGG","PKALMEK1","85","Республика Калмыкия","FZYUKU20",1376.23,407848.46
"678",2017-01-01,"АО ""Калмэнергосбыт""","KALMENER","PKALMENE","85","Республика Калмыкия","FZYUKU20",1356.9,407120.14
"679",2017-01-01,"ОАО ""Калужская сбытовая компания""","KALUGENE","PKALUGEN","29","Калужская область","FZZNOE24",1197.82,404926.66
"680",2017-01-01,"АО ""ТНС энерго Карелия""","KARELENE","PKARELEN","86","Республика Карелия","FZSZOE27",1040.57,403155.71
"681",2017-01-01,"АО ""Карачаево-Черкесскэнерго""","KCHERKEN","PKCHERKE","91","Карачаево-Черкесская Республика","FZYUOE16",691.26,365518.98
"682",2017-01-01,"ОАО ""ЭнергосбыТ Плюс""","ORENBENE","PKIROVEN","33","Кировская область","FZURKR12",1195.26,394763.7
"683",2017-01-01,"АО ""АтомЭнергоСбыт""","ATOMSBYT","PKOLENER","47","Мурманская область","FZSZKO28",951.79,404265.3
"684",2017-01-01,"АО ""Королевская электросеть СК""","KOROLSET","PKORELS1","46","Московская область","FZZMSK26",1208.2,397261.03
"685",2017-01-01,"ПАО ""Костромская сбытовая компания""","KOSTRENE","PKOSTREN","34","Костромская область","FZZNOE24",1177.18,398747.44
"686",2017-01-01,"ПАО ""КЭС"" (г.Красногорск)","KRASNGOR","PKRAELS1","46","Московская область","FZZMSK26",1191.48,398072.56
"687",2017-01-01,"ПАО ""КЭС"" (г.Красногорск)","KRASNGOR","PKRAELS2","46","Московская область","FZZMSK26",1204.83,395617.08
"688",2017-01-01,"ПАО ""Красноярскэнергосбыт""","KRASNOEN","PKRASNEN","04","Красноярский край","FZSBOE01",924.89,546065.22
"689",2017-01-01,"ГУП РК ""Крымэнерго""","KRYMENRG","PKRYMEN1","35","Республика Крым","FZYUKU20",2087.84,422579.66
"690",2017-01-01,"ОАО ""Кубаньэнергосбыт""","KUBANESK","PKUBANEN","03","Краснодарский край","FZYUKU20",1625.04,410475.18
"691",2017-01-01,"АО ""ЭК ""Восток""","ESVOSTOK","PKURGANE","37","Курганская область","FZUROE07",1031.37,533429.89
"692",2017-01-01,"АО ""АтомЭнергоСбыт""","ATOMSBYT","PKURSKEN","38","Курская область","FZZNOE24",1089.86,398357.13
"693",2017-01-01,"ОАО ""Кузбассэнергосбыт""","KUZBSBYT","PKUZBENE","32","Кемеровская область","FZSBOE01",928.22,588906.79
"694",2017-01-01,"АО ""Петербургская сбытовая компания""","LENENERG","PLENENER","41","Ленинградская область","FZSZOE27",1073.45,441375.06
"695",2017-01-01,"ООО ""ГЭСК"" (г.Липецк)","GORODESK","PLGORSB1","42","Липецкая область","FZZNOE24",1223.63,434859.01
"696",2017-01-01,"ОАО ""ЛЭСК"" (г.Липецк)","LIPECKEN","PLIPECKE","42","Липецкая область","FZZNOE24",1179.27,434982.63
"697",2017-01-01,"ООО ""МЭК"" (г.Магнитогорск)","MAGNENKO","PMAGENKO","75","Челябинская область","FZUROE07",1127.92,410787.09
"698",2017-01-01,"ПАО ""ТНС энерго Марий Эл""","MARIENER","PMARIENE","88","Республика Марий Эл","FZURKR12",1192.19,394230.83
"699",2017-01-01,"ООО ""Металлэнергофинанс""","METALENE","PMETALEN","32","Кемеровская область","FZSBOE01",959.55,592162.3
"700",2017-01-01,"ПАО ""Мордовская энергосбытовая компания""","MORDOVEN","PMORDOVE","89","Республика Мордовия","FZVLOE13",1214.27,393303.37
"701",2017-01-01,"ПАО ""Мосэнергосбыт""","MOSENERG","PMOSENER","46","Московская область","FZZNOE24",1201.91,396298.78
"702",2017-01-01,"ООО ""ЭНЕРГОСБЫТХОЛДИНГ""","RUSENSBM","PMRUSGD1","46","Московская область","FZZMSK26",1229.93,394680.24
"703",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA1","03","Краснодарский край","FZYUKU20",1684.63,411586.89
"704",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA2","03","Краснодарский край","FZYUKU20",1593.52,408778.03
"705",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA3","03","Краснодарский край","FZYUKU20",1588.9,411183.63
"706",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA4","03","Краснодарский край","FZYUKU20",1549.51,410439.24
"707",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA5","03","Краснодарский край","FZYUKU20",1706.95,410455.81
"708",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA6","03","Краснодарский край","FZYUKU20",1601.21,410334.22
"709",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA7","03","Краснодарский край","FZYUKU20",1524.74,410694.55
"710",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA8","03","Краснодарский край","FZYUKU20",1695.41,414477.76
"711",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA9","03","Краснодарский край","FZYUKU20",1639.29,411358.33
"712",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR10","03","Краснодарский край","FZYUKU20",1714.75,410874.98
"713",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR11","03","Краснодарский край","FZYUKU20",1650.33,410127.7
"714",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR12","03","Краснодарский край","FZYUKU20",1649.18,411042.5
"715",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR13","03","Краснодарский край","FZYUKU20",1544.9,409942.54
"716",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR14","03","Краснодарский край","FZYUKU20",1613.91,408446.79
"717",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR15","03","Краснодарский край","FZYUKU20",1657.06,410652.99
"718",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR16","03","Краснодарский край","FZYUKU20",1593.06,410037.41
"719",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR17","03","Краснодарский край","FZYUKU20",1712.55,409612.58
"720",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR18","03","Краснодарский край","FZYUKU20",1518.91,409428.13
"721",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR19","03","Краснодарский край","FZYUKU20",1555.78,411460.97
"722",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR21","03","Краснодарский край","FZYUKU20",1774.18,410258.21
"723",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR22","03","Краснодарский край","FZYUKU20",1695.93,410787.61
"724",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR23","03","Краснодарский край","FZYUKU20",1699.73,410739.44
"725",2017-01-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR25","03","Краснодарский край","FZYUKU20",1724.33,414275.33
"726",2017-01-01,"ПАО ""ТНС энерго НН""","NIGNOVEN","PNIGNOVE","22","Нижегородская область","FZZNOE24",1195.78,398852.83
"727",2017-01-01,"ООО ""НЭСК"" (г.Новомосковск)","NOVMOSSK","PNOMESK1","70","Тульская область","FZZNOE24",1254.78,423763.23
"728",2017-01-01,"ООО ""ТНС энерго Великий Новгород""","GARENERC","PNOVGORE","49","Новгородская область","FZSZOE27",1107.96,403781.8
"729",2017-01-01,"ОАО ""Новосибирскэнергосбыт""","SBRENERG","PNOVOSIB","50","Новосибирская область","FZSBOE01",946.49,609329.27
"730",2017-01-01,"ООО ""НУЭСК"" (г.Новоуральск)","NOVOYRAL","PNUESBK1","65","Свердловская область","FZUROE07",1077.89,413053.47
"731",2017-01-01,"АО ""Чеченэнерго""","CHECHENG","PNURENER","96","Чеченская Республика","FZYUOE16",669.88,259024.9
"732",2017-01-01,"ООО ""НЭСКО"" (г.Нижневартовск)","OOONESKO","PNVAREK1","71","Тюменская область","FZURTU08",931.26,404735.78
"733",2017-01-01,"АО ""Обеспечение РФЯЦ-ВНИИЭФ""","OBESPRFC","POBESPE1","22","Нижегородская область","FZZNOE24",1188.05,398930.82
"734",2017-01-01,"МУП ""Объединение Истринские электросети""","ISTRSETI","POISTRS1","46","Московская область","FZZMSK26",1201.67,396537.68
"735",2017-01-01,"МУП ""Объединение Истринские электросети""","ISTRSETI","POISTRS2","46","Московская область","FZZMSK26",1213.72,396144.57
"736",2017-01-01,"АО ""Петербургская сбытовая компания""","LENENERG","POMSKENE","52","Омская область","FZSBOM03",1039.91,541325.05
"737",2017-01-01,"АО ""Петербургская сбытовая компания""","LENENERG","POMSKEZN","52","Омская область","FZURTU08",1114.48,405041.82
"738",2017-01-01,"ООО ""ИНТЕР РАО - Орловский энергосбыт""","IRAORLSB","PORELENE","54","Орловская область","FZZNOE24",1187.2,422888.41
"739",2017-01-01,"ОАО ""ЭнергосбыТ Плюс""","ORENBENE","PORENBEN","53","Оренбургская область","FZUROE07",1168.55,406633.44
"740",2017-01-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL1","53","Оренбургская область","FZUROE07",1152.65,406544.11
"741",2017-01-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL2","53","Оренбургская область","FZUROE07",1177.88,400011.44
"742",2017-01-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL3","53","Оренбургская область","FZUROE07",1152.34,401365.24
"743",2017-01-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL4","53","Оренбургская область","FZUROE07",1181.65,406826.37
"744",2017-01-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL5","53","Оренбургская область","FZUROE07",1147.64,405289.33
"745",2017-01-01,"ООО ""ТНС энерго Пенза""","ENTREDIN","PPENZAEN","56","Пензенская область","FZVLOE13",1177.43,393170.11
"746",2017-01-01,"ПАО ""Пермэнергосбыт""","PERMENER","PPERMENE","57","Пермский край","FZUROE07",1124.39,405176.99
"747",2017-01-01,"ОАО ""Псковэнергосбыт""","PSKOVENE","PPSKOVEN","58","Псковская область","FZSZOE27",1154.2,403560.38
"748",2017-01-01,"ОАО ""Пятигорские электрические сети""","PYATELSE","PPYATELS","07","Ставропольский край","FZYUOE16",1732.5,492750.46
"749",2017-01-01,"ООО ""РЭК""","REKKURSK","PREKKUR1","38","Курская область","FZZNOE24",1127.94,397942.48
"750",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO1","41","Ленинградская область","FZSZOE27",1063.55,411653.35
"751",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO2","41","Ленинградская область","FZSZOE27",1088.1,411710.91
"752",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO3","41","Ленинградская область","FZSZOE27",1101.48,411920.12
"753",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO4","41","Ленинградская область","FZSZOE27",1088.13,409990.3
"754",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO5","41","Ленинградская область","FZSZOE27",944.24,402520.52
"755",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO6","41","Ленинградская область","FZSZOE27",1082.44,411716.83
"756",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO7","41","Ленинградская область","FZSZOE27",1112.01,409668.63
"757",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO8","41","Ленинградская область","FZSZOE27",1078.5,406490.86
"758",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO9","41","Ленинградская область","FZSZOE27",1072.48,409507.22
"759",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL10","41","Ленинградская область","FZSZOE27",1172.14,381484.3
"760",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL11","41","Ленинградская область","FZSZOE27",1079.63,404318.69
"761",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL12","41","Ленинградская область","FZSZOE27",1176.72,410451.12
"762",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL13","41","Ленинградская область","FZSZOE27",1115.91,415119.33
"763",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL14","41","Ленинградская область","FZSZOE27",1109.53,412010.09
"764",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL15","41","Ленинградская область","FZSZOE27",1079.86,411419.56
"765",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL16","41","Ленинградская область","FZSZOE27",1020.41,413487.22
"766",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL17","41","Ленинградская область","FZSZOE27",1075.36,412450.28
"767",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL18","41","Ленинградская область","FZSZOE27",1083.84,411633.34
"768",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL27","41","Ленинградская область","FZSZOE27",1095.45,413906.83
"769",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL28","41","Ленинградская область","FZSZOE27",1082.9,409515.2
"770",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL30","41","Ленинградская область","FZSZOE27",1077.01,408518.18
"771",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL31","41","Ленинградская область","FZSZOE27",1188.85,404845.91
"772",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL32","41","Ленинградская область","FZSZOE27",1090.9,399039.23
"773",2017-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL33","41","Ленинградская область","FZSZOE27",1078.53,409757.12
"774",2017-01-01,"ОАО ""Роскоммунэнерго""","ROSKOMEN","PROSKOM1","65","Свердловская область","FZUROE07",1075.01,414370.92
"775",2017-01-01,"ПАО ""ТНС энерго Ростов-на-Дону""","ROSTOVEN","PROSTOVE","60","Ростовская область","FZYUKU20",1358.78,439019.84
"776",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGDKL","47","Мурманская область","FZSZKO28",909.64,405280.5
"777",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGDLE","41","Ленинградская область","FZSZOE27",1086.49,425624.91
"778",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGDRK","86","Республика Карелия","FZSZOE27",966.48,403981.69
"779",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGDS2","95","Республика Хакасия","FZSBOE01",954,537776.82
"780",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGDVL","17","Владимирская область","FZZNOE24",1192.97,398676.78
"781",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD01","18","Волгоградская область","FZYUVG17",1226.64,393169
"782",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD03","89","Республика Мордовия","FZVLOE13",1226.4,394010.91
"783",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD07","33","Кировская область","FZURKR12",1181.03,394026.05
"784",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD13","18","Волгоградская область","FZYUVG17",1221.25,391384.92
"785",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD24","18","Волгоградская область","FZYUVG17",1218.28,370257.59
"786",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD25","18","Волгоградская область","FZYUVG17",1181.07,394236.86
"787",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD26","18","Волгоградская область","FZYUVG17",1261.56,271425.6
"788",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD27","18","Волгоградская область","FZYUVG17",1191.21,344822.6
"789",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD29","18","Волгоградская область","FZYUVG17",1235.42,392283.59
"790",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD35","12","Астраханская область","FZYUAS18",1135.82,427855.64
