"","TDATE","PNAME","PCODE","TCODE","REGION_CODE","ZSP_CODE","P_VC_UNREG_AVG","P_NC_UNREG_AVG"
"67",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK5","24","FZZNOE24",948.842003811562,279657.49262154
"68",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK6","24","FZZNOE24",991.418420528445,273136.12708215
"69",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK7","24","FZZNOE24",950.003979262665,277523.396505996
"70",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK8","24","FZZNOE24",952.539436037486,277779.591077482
"71",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK9","24","FZZNOE24",939.046964787826,275842.059391076
"72",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS10","24","FZZNOE24",951.300215707465,277977.183868189
"73",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS11","24","FZZNOE24",953.136937222399,282687.688332692
"74",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS12","24","FZZNOE24",1003.4765885026,291308.98229778
"75",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS13","24","FZZNOE24",1006.58017850571,274866.689506779
"76",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS14","24","FZZNOE24",958.231092362153,275995.648659795
"77",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS15","24","FZZNOE24",954.893911342643,273609.906163846
"78",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS16","24","FZZNOE24",1058.17848171935,288205.948547079
"79",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS17","24","FZZNOE24",928.45665251122,274198.273441229
"80",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS18","24","FZZNOE24",937.663136080127,275916.277512228
"81",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS19","24","FZZNOE24",1076.68923713231,342629.152216958
"82",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS20","24","FZZNOE24",954.716751855555,279601.472063074
"83",2011-01-01,"ОАО ""Каббалкэнерго""","KABBAGEN","PKABBAGE","83","FZYUOE16",392.607327532438,159795.9286
"84",2011-01-01,"ОАО ""Калмэнергосбыт""","KALMENER","PKALMENE","85","FZYURS19",1004.74587805255,279165.159762743
"85",2011-01-01,"ОАО ""Калужская сбытовая компания""","KALUGENE","PKALUGEN","29","FZZNOE24",963.690942070856,277901.238111148
"86",2011-01-01,"ОАО ""Карельская энергосбытовая компания""","KARELENE","PKARELEN","86","FZSZOE27",928.394171003516,357425.401651542
"87",2011-01-01,"ОАО ""Карачаево-Черкесскэнерго""","KCHERKEN","PKCHERKE","91","FZYUOE16",384.111466036176,165434.5252
"88",2011-01-01,"ОАО ""Кировэнергосбыт""","KIROVENE","PKIROVEN","33","FZURKR12",962.548696249718,270412.111395136
"89",2011-01-01,"ОАО ""Кольская энергосбытовая компания""","KOLENERG","PKOLENER","47","FZSZKO28",777.141566087188,304936.997511541
"90",2011-01-01,"ОАО ""Королевская электросеть СК""","KOROLSET","PKORELS1","46","FZZMSK26",931.427970236299,318735.342302101
"91",2011-01-01,"ОАО ""Костромская сбытовая компания""","KOSTRENE","PKOSTREN","34","FZZNOE24",946.608353196356,277200.730024267
"92",2011-01-01,"ОАО ""Красногорская электрическая сеть""","KRASNGOR","PKRAELS1","46","FZZMSK26",926.27580988733,319118.386530717
"93",2011-01-01,"ОАО ""Красноярскэнергосбыт""","KRASNOEN","PKRASNEN","04","FZSBOE01",532.712698067866,163937.626733001
"94",2011-01-01,"ОАО ""Кубанская энергосбытовая компания""","KUBANESK","PKUBANEN","03","FZYUKU20",1093.28992836391,296525.975914098
"95",2011-01-01,"ОАО ""Энергосбыт"" (г.Курган)","KURGENRG","PKURGANE","37","FZUROE07",928.174095089024,275984.992511901
"96",2011-01-01,"ОАО ""Курская энергосбытовая компания""","KURSKENE","PKURSKEN","38","FZZNOE24",919.420884802654,288782.724979757
"97",2011-01-01,"ОАО ""Кузбассэнергосбыт""","KUZBSBYT","PKUZBENE","32","FZSBOE01",598.526380843529,186404.152279881
"98",2011-01-01,"ОАО ""Петербургская сбытовая компания""","LENENERG","PLENENER","41","FZSZOE27",918.585544526213,355775.127012478
"99",2011-01-01,"ООО ""Городская энергосбытовая компания"" (г.Липецк)","GORODESK","PLGORSB1","42","FZZNOE24",979.643506215095,287510.584934844
"102",2011-01-01,"ОАО ""Липецкая энергосбытовая компания""","LIPECKEN","PLIPECKE","42","FZZNOE24",967.289244448408,281369.498987809
"103",2011-01-01,"ООО ""Магнитогорская энергетическая компания""","MAGNENKO","PMAGENKO","75","FZUROE07",941.058219241277,274469.393528902
"104",2011-01-01,"ОАО ""Мариэнергосбыт""","MARIENER","PMARIENE","88","FZVLKZ14",971.113575388814,312716.933936697
"105",2011-01-01,"ООО ""Металлэнергофинанс""","METALENE","PMETALEN","32","FZSBOE01",624.015868390944,206382.143317731
"106",2011-01-01,"ОАО ""Мордовская энергосбытовая компания""","MORDOVEN","PMORDOVE","89","FZVLOE13",975.159368945349,269418.545709024
"107",2011-01-01,"ОАО ""Мосэнергосбыт""","MOSENERG","PMOSENER","46","FZZNOE24",931.72539101195,316291.010583675
"108",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ М""","RUSENSBM","PMRUSGD1","46","FZZMSK26",946.105242179994,311918.288600466
"109",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA1","03","FZYUSO22",1107.2090433819,275921.902398282
"110",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA2","03","FZYUKU20",1084.53316370578,270600.669653419
"111",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA3","03","FZYUKU20",1080.19579436422,271889.079123515
"112",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA4","03","FZYUKU20",1060.87283315495,269912.873887233
"113",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA5","03","FZYUSO22",1152.08023683266,277668.297387737
"114",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA6","03","FZYUKU20",1079.72532438305,268898.8848688
"115",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA7","03","FZYUKU20",1036.74592353107,269282.694289492
"116",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA8","03","FZYUSO22",1137.3727038269,276992.64285816
"117",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA9","03","FZYUKU20",1108.92260589596,267684.703098231
"118",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR10","03","FZYUKU20",1159.92921076594,269251.023624801
"119",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR11","03","FZYUKU20",1115.30915902545,268604.782920825
"120",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR12","03","FZYUKU20",1126.11716630555,270065.577771445
"121",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR13","03","FZYUKU20",1058.3507631872,269993.406533472
"122",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR14","03","FZYUSK21",1099.69715914091,449189.510756409
"123",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR15","03","FZYUKU20",1109.54216231821,266322.434631051
"124",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR16","03","FZYUKU20",1081.4690533902,270673.445231985
"125",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR17","03","FZYUKU20",1159.11160320063,269688.160280916
"126",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR18","03","FZYUKU20",1037.71766844513,268727.239490756
"127",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR19","03","FZYUKU20",1052.22316568751,268674.131789293
"129",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR21","03","FZYUSO22",1122.06665037969,274942.552704633
"130",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR22","03","FZYUSO22",1116.15513721437,276373.962645509
"131",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR23","03","FZYUSO22",1121.28677819361,276113.985375915
"132",2011-01-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR25","03","FZYUSO22",565.92,209752.8424
"133",2011-01-01,"ОАО ""Нижегородская сбытовая компания""","NIGNOVEN","PNIGNOVE","22","FZZNOE24",972.785993293688,284345.648438929
"134",2011-01-01,"ООО ""Новомосковская энергосбытовая компания""","NOVMOSSK","PNOMESK1","70","FZZNOE24",987.501201338479,278858.10325234
"141",2011-01-01,"ОАО ""Новгородская энергосбытовая компания""","NOVGOREN","PNOVGORE","49","FZSZOE27",914.897781311613,357355.129366615
"142",2011-01-01,"ОАО ""СибирьЭнерго""","SBRENERG","PNOVOSIB","50","FZSBOE01",547.304259129199,165610.640194207
"143",2011-01-01,"ООО ""Новоуральская энергосбытовая компания""","NOVOYRAL","PNUESBK1","65","FZUROE07",895.218394126829,278564.071921683
"144",2011-01-01,"ОАО ""Нурэнерго""","NURENERG","PNURENER","96","FZYUOE16",398.940619389582,76441.0910388013
"145",2011-01-01,"ООО ""Нижневартовская Энергосбытовая компания""","OOONESKO","PNVAREK1","71","FZURTU08",853.280600688143,284462.382704033
"146",2011-01-01,"ОАО ""Обеспечение РФЯЦ-ВНИИЭФ""","OBESPRFC","POBESPE1","22","FZZNOE24",954.772589387171,273135.9862
"147",2011-01-01,"МУП ""Объединение ""Истринские Электросети""","ISTRSETI","POISTRS1","46","FZZMSK26",943.310274763024,327173.86248021
"148",2011-01-01,"МУП ""Объединение ""Истринские Электросети""","ISTRSETI","POISTRS2","46","FZZMSK26",953.13429288812,321970.724496753
"149",2011-01-01,"ОАО ""Омская энергосбытовая компания""","OMSKENER","POMSKENE","52","FZSBOM03",627.735153769458,206158.877466697
"150",2011-01-01,"ОАО ""Омская энергосбытовая компания""","OMSKENER","POMSKEZN","52","FZURTU08",965.853706930412,276480.246
"151",2011-01-01,"ОАО ""Орловская сбытовая компания""","ORELENER","PORELENE","54","FZZNOE24",952.371551112184,292366.545189178
"152",2011-01-01,"ОАО ""Оренбургэнергосбыт""","ORENBENE","PORENBEN","53","FZUROE07",962.571109485065,282080.451386632
"153",2011-01-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL1","53","FZUROE07",945.367792251502,276255.798658686
"154",2011-01-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL2","53","FZUROE07",955.233969686837,277596.334618669
"155",2011-01-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL3","53","FZUROE07",949.348396410059,279178.751549789
"156",2011-01-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL4","53","FZUROE07",968.847189526798,277152.858112204
"157",2011-01-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL5","53","FZUROE07",965.765705943589,277858.967335738
"158",2011-01-01,"ОАО ""Пензенская энергосбытовая компания""","PENZAENE","PPENZAEN","56","FZVLOE13",944.703457194696,273174.363729829
"159",2011-01-01,"ОАО ""Пермская энергосбытовая компания""","PERMENER","PPERMENE","57","FZUROE07",988.641884404217,272134.519088095
"160",2011-01-01,"ОАО ""Псковэнергосбыт""","PSKOVENE","PPSKOVEN","58","FZSZOE27",962.821966356747,356753.71141846
"161",2011-01-01,"ОАО ""Пятигорские электрические сети""","PYATELSE","PPYATELS","07","FZYUOE16",1178.47127400121,285844.537056284
"162",2011-01-01,"ООО ""Региональная Энергосбытовая Компания""","REKKURSK","PREKKUR1","38","FZZNOE24",936.424609106657,279242.740556196
"164",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO1","41","FZSZOE27",898.218736365808,362003.525835271
"165",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO2","41","FZSZOE27",872.980855976976,199801.6578
"166",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO3","41","FZSZOE27",907.517365124057,357483.266515233
"167",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO4","41","FZSZOE27",910.832216886469,358801.791189392
"168",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO5","41","FZSZOE27",883.811675570414,353780.828596611
"169",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO6","41","FZSZOE27",945.705579891612,318620.862954145
"170",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO7","41","FZSZOE27",958.570198962968,365139.192159407
"171",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO8","41","FZSZOE27",914.118754341385,355889.753083688
"172",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSELO9","41","FZSZOE27",911.274099705647,358173.881056475
"173",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL10","41","FZSZOE27",944.398780419632,356098.262935209
"174",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL11","41","FZSZOE27",911.120803858289,359906.897902574
"175",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL12","41","FZSZOE27",1007.69113297242,355592.323993184
"176",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL13","41","FZSZOE27",904.337771168685,366631.8502394
"177",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL14","41","FZSZOE27",910.670198571408,357286.108537182
"178",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL15","41","FZSZOE27",909.423855910536,358868.907063726
"179",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL16","41","FZSZOE27",832.013957529724,374125.497961635
"180",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL17","41","FZSZOE27",906.127778090263,359027.355561112
"181",2011-01-01,"ООО ""РКС-энерго""","RKSENERG","PRKSEL18","41","FZSZOE27",922.487077293146,357831.575994158
"182",2011-01-01,"ОАО ""Роскоммунэнерго""","ROSKOMEN","PROSKOM1","65","FZUROE07",924.724088112977,276896.489985608
"183",2011-01-01,"ОАО ""Энергосбыт Ростовэнерго""","ROSTOVEN","PROSTOVE","60","FZYURS19",1003.4989347196,276815.105093555
"184",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGDKL","47","FZSZKO28",749.246965365234,300713.662168414
"185",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGDLE","41","FZSZOE27",912.74342482967,352654.985059646
"186",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGDRK","86","FZSZOE27",855.526515537596,356716.837421384
"187",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGDS2","95","FZSBKZ02",583.721378581831,147176.172587182
"188",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGDVL","17","FZZNOE24",934.750597993042,272825.153061399
"189",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD01","18","FZYUVG17",955.819785614498,272360.411116474
"190",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD03","89","FZVLOE13",965.294559928368,265044.242211807
"191",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD07","33","FZURKR12",942.104800257965,267673.067235304
"192",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD13","18","FZYUVG17",1014.70998905695,274898.327814407
"193",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD24","18","FZYUVG17",1009.98118013894,277570.140715163
"194",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD25","18","FZYUVG17",945.671214679864,271505.162244773
"195",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD26","18","FZYUVG17",1002.4273317373,280772.220629499
"196",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD27","18","FZYUVG17",952.943299987703,272453.882266628
"198",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD29","18","FZYUVG17",997.299833292606,271247.34470023
"200",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD35","12","FZYUAS18",1011.5678856785,267196.808231249
"201",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD36","46","FZZMSK26",939.964948818212,312071.6354617
"202",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD37","22","FZZNOE24",937.930321169471,277524.630636944
"203",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD38","53","FZUROE07",964.655717431733,266853.059813833
"204",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD39","63","FZVLBS15",896.148260010284,256592.438536386
"206",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD47","78","FZZNOE24",982.64652388647,277938.597106162
"207",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD49","34","FZZNOE24",940.507808117408,276242.546610337
"208",2011-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD52","25","FZSBOE01",527.892305128564,165817.520740919
"209",2011-01-01,"ООО ""Рязанская городская муниципальная энергосбытовая компания""","RYAZENGR","PRYAZEL1","61","FZZNOE24",955.02448954389,279755.343317707
"210",2011-01-01,"ОАО ""Рязанская энергетическая сбытовая компания""","RYAZENER","PRYAZENE","61","FZZNOE24",981.019524180066,260611.036600884
"211",2011-01-01,"ОАО ""Самараэнерго""","SAMARAEN","PSAMARAE","36","FZUROE07",949.379435892781,272754.118285902
"212",2011-01-01,"ЗАО ""Самарагорэнергосбыт""","SAMGESGP","PSAMELS1","36","FZVLOE13",1000.07937141108,282577.258063568
"213",2011-01-01,"ОАО ""Саратовэнерго""","SARATENE","PSARATEN","63","FZVLBS15",879.610430075643,267649.337664424
"214",2011-01-01,"ООО ""Саратовское предприятие городских электрических сетей""","SARGORES","PSARELS1","63","FZVLBS15",901.320722435749,271242.990880733
"215",2011-01-01,"ОАО ""Севкавказэнерго""","SEVKAVEN","PSEVKAVE","90","FZYUOE16",450.921778925376,231913.593550963
"216",2011-01-01,"ОАО ""Смоленскэнергосбыт""","SMOLENER","PSMOLENE","66","FZZNOE24",954.094477374999,285111.333689485
"217",2011-01-01,"ОАО ""Ставропольэнергосбыт""","STAVRENE","PSTAVREN","07","FZYUOE16",1120.34196448226,302822.561450017
"218",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME1","07","FZYUOE16",1160.1296780301,287148.448754572
"219",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME2","07","FZYUOE16",1187.99272293027,283101.171072689
"220",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME3","07","FZYUOE16",1064.0243321247,288497.955744465
"221",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME4","07","FZYUOE16",1127.25004017261,281710.06297008
"222",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME5","07","FZYUOE16",1088.68974261023,287014.142505532
"223",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME6","07","FZYUOE16",1165.35251807664,283614.87079302
"224",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME7","07","FZYUOE16",1155.46550644186,283709.637249145
"225",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME8","07","FZYUOE16",1225.98369680947,287021.364488093
"226",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME9","07","FZYUOE16",1117.74213014469,286335.099804675
"227",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM10","07","FZYUOE16",1120.09978681858,289317.355425976
"228",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM11","07","FZYUOE16",1086.63543221891,287360.37748134
"229",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM12","07","FZYUOE16",1087.65952466812,285287.921486596
"230",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM13","07","FZYUOE16",1242.92035783388,285086.280583705
"231",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM14","07","FZYUOE16",1224.38716262559,288796.731114948
"232",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM15","07","FZYUOE16",1189.86411944059,282124.696760163
"233",2011-01-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM16","07","FZYUOE16",1035.99438243303,285148.006266215
