"","SESSION_ID","FINAL_CALCULATION_FLAG","TDATE","PNAME","PCODE","TCODE","REGION_CODE","P_NC_UNREG_AVG"
"46",2690,1,"2011-01-01 00:00:00.0","ООО ""ЭНЕРГИЯ ХОЛДИНГ""","ENERHOLD","PENHOL11","41",370504.889232824
"47",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергокомфорт"". Карелия""","EKOMFORT","PENKOMF1","86",356210.767837738
"48",2690,1,"2011-01-01 00:00:00.0","ОАО ""470 Электрическая сеть""","OAO470ES","PESVMF01","41",352952.114052277
"49",2690,1,"2011-01-01 00:00:00.0","ОАО ""470 Электрическая сеть""","OAO470ES","PESVMF02","41",352355.32721408
"50",2690,1,"2011-01-01 00:00:00.0","ОАО ""ГОРЭЛЕКТРОСЕТЬ"" (г.Кисловодск)","GORELKIS","PGELESKS","07",284610.412023137
"51",2690,1,"2011-01-01 00:00:00.0","ОАО ""Горэлектросеть"" г.Невинномысск","NEVNGORS","PGELSNV1","07",278610.155067902
"52",2690,1,"2011-01-01 00:00:00.0","ОАО ""Горэлектросеть"" г.Невинномысск","NEVNGORS","PGELSNV2","07",283160.383882284
"53",2690,1,"2011-01-01 00:00:00.0","МП ""Городские электрические сети"" (г.Ханты-Мансийск)","HANTGORS","PGORESHM","71",284594.593549031
"54",2690,1,"2011-01-01 00:00:00.0","ОАО ""Хакасэнергосбыт""","HAKASENE","PHAKASEN","95",127123.307768038
"55",2690,1,"2011-01-01 00:00:00.0","ОАО ""Ингушэнерго""","INGUSHEN","PINGUSHE","26",134816.10224707
"56",2690,1,"2011-01-01 00:00:00.0","ОАО ""ИНТЕР РАО ЕЭС""","INTRAOES","PINTORE1","54",274582.251076641
"57",2690,1,"2011-01-01 00:00:00.0","ОАО ""ИНТЕР РАО ЕЭС""","INTRAOES","PINTORE2","54",274767.212891472
"58",2690,1,"2011-01-01 00:00:00.0","ОАО ""ИНТЕР РАО ЕЭС""","INTRAOES","PINTORE3","54",269478.400066852
"59",2690,1,"2011-01-01 00:00:00.0","ОАО ""ИНТЕР РАО ЕЭС""","INTRAOES","PINTORE4","54",272244.726884245
"60",2690,1,"2011-01-01 00:00:00.0","ООО ""Иркутская Энергосбытовая компания""","IRKUTSBT","PIRKUTEN","25",166082.671045154
"61",2690,1,"2011-01-01 00:00:00.0","МУП ""Ивантеевские Электросети""","IVELSETI","PIVANTES","46",322572.401804083
"62",2690,1,"2011-01-01 00:00:00.0","ОАО ""Ивановская энергосбытовая компания""","IVENERGO","PIVENERG","24",278697.7553708
"63",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK1","24",277223.029165861
"64",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK2","24",276253.852817251
"65",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK3","24",276929.381569753
"66",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK4","24",620564.950821599
"67",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK5","24",279657.49262154
"68",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK6","24",273136.12708215
"69",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK7","24",277523.396505996
"70",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK8","24",277779.591077482
"71",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK9","24",275842.059391076
"72",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS10","24",277977.183868189
"73",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS11","24",282687.688332692
"74",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS12","24",291308.98229778
"75",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS13","24",274866.689506779
"76",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS14","24",275995.648659795
"77",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS15","24",273609.906163846
"78",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS16","24",288205.948547079
"79",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS17","24",274198.273441229
"80",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS18","24",275916.277512228
"81",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS19","24",342629.152216958
"82",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS20","24",279601.472063074
"83",2690,1,"2011-01-01 00:00:00.0","ОАО ""Каббалкэнерго""","KABBAGEN","PKABBAGE","83",159795.9286
"84",2690,1,"2011-01-01 00:00:00.0","ОАО ""Калмэнергосбыт""","KALMENER","PKALMENE","85",279165.159762743
"85",2690,1,"2011-01-01 00:00:00.0","ОАО ""Калужская сбытовая компания""","KALUGENE","PKALUGEN","29",277901.238111148
"86",2690,1,"2011-01-01 00:00:00.0","ОАО ""Карельская энергосбытовая компания""","KARELENE","PKARELEN","86",357425.401651542
"87",2690,1,"2011-01-01 00:00:00.0","ОАО ""Карачаево-Черкесскэнерго""","KCHERKEN","PKCHERKE","91",165434.5252
"88",2690,1,"2011-01-01 00:00:00.0","ОАО ""Кировэнергосбыт""","KIROVENE","PKIROVEN","33",270412.111395136
"89",2690,1,"2011-01-01 00:00:00.0","ОАО ""Кольская энергосбытовая компания""","KOLENERG","PKOLENER","47",304936.997511541
"90",2690,1,"2011-01-01 00:00:00.0","ОАО ""Королевская электросеть СК""","KOROLSET","PKORELS1","46",318735.342302101
"91",2690,1,"2011-01-01 00:00:00.0","ОАО ""Костромская сбытовая компания""","KOSTRENE","PKOSTREN","34",277200.730024267
"92",2690,1,"2011-01-01 00:00:00.0","ОАО ""Красногорская электрическая сеть""","KRASNGOR","PKRAELS1","46",319118.386530717
"93",2690,1,"2011-01-01 00:00:00.0","ОАО ""Красноярскэнергосбыт""","KRASNOEN","PKRASNEN","04",163937.626733001
"94",2690,1,"2011-01-01 00:00:00.0","ОАО ""Кубанская энергосбытовая компания""","KUBANESK","PKUBANEN","03",296525.975914098
"95",2690,1,"2011-01-01 00:00:00.0","ОАО ""Энергосбыт"" (г.Курган)","KURGENRG","PKURGANE","37",275984.992511901
"96",2690,1,"2011-01-01 00:00:00.0","ОАО ""Курская энергосбытовая компания""","KURSKENE","PKURSKEN","38",288782.724979757
"97",2690,1,"2011-01-01 00:00:00.0","ОАО ""Кузбассэнергосбыт""","KUZBSBYT","PKUZBENE","32",186404.152279881
"98",2690,1,"2011-01-01 00:00:00.0","ОАО ""Петербургская сбытовая компания""","LENENERG","PLENENER","41",355775.127012478
"99",2690,1,"2011-01-01 00:00:00.0","ООО ""Городская энергосбытовая компания"" (г.Липецк)","GORODESK","PLGORSB1","42",287510.584934844
"100",2690,1,"2011-01-01 00:00:00.0","ООО ""Городская энергосбытовая компания"" (г.Липецк)","GORODESK","PLGORSB2","42",285944.702316289
"101",2690,1,"2011-01-01 00:00:00.0","ООО ""Городская энергосбытовая компания"" (г.Липецк)","GORODESK","PLGORSB3","42",286567.661697312
"102",2690,1,"2011-01-01 00:00:00.0","ОАО ""Липецкая энергосбытовая компания""","LIPECKEN","PLIPECKE","42",281369.498987809
"103",2690,1,"2011-01-01 00:00:00.0","ООО ""Магнитогорская энергетическая компания""","MAGNENKO","PMAGENKO","75",274469.393528902
"104",2690,1,"2011-01-01 00:00:00.0","ОАО ""Мариэнергосбыт""","MARIENER","PMARIENE","88",312716.933936697
"105",2690,1,"2011-01-01 00:00:00.0","ООО ""Металлэнергофинанс""","METALENE","PMETALEN","32",206382.143317731
"106",2690,1,"2011-01-01 00:00:00.0","ОАО ""Мордовская энергосбытовая компания""","MORDOVEN","PMORDOVE","89",269418.545709024
"107",2690,1,"2011-01-01 00:00:00.0","ОАО ""Мосэнергосбыт""","MOSENERG","PMOSENER","46",316291.010583675
"108",2690,1,"2011-01-01 00:00:00.0","ООО ""РУСЭНЕРГОСБЫТ М""","RUSENSBM","PMRUSGD1","46",311918.288600466
"109",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA1","03",275921.902398282
"110",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA2","03",270600.669653419
"111",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA3","03",271889.079123515
