"","SESSION_ID","FINAL_CALCULATION_FLAG","TDATE","PNAME","PCODE","TCODE","REGION_CODE","P_NC_UNREG_AVG","P_VC_UNREG_AVG"
"42",2690,1,"2011-01-01 00:00:00.0","ООО ""ЭНЕРГИЯ ХОЛДИНГ""","ENERHOLD","PENHOLD7","41",359780.274011276,952.266931482682
"43",2690,1,"2011-01-01 00:00:00.0","ООО ""ЭНЕРГИЯ ХОЛДИНГ""","ENERHOLD","PENHOLD8","41",358458.212329657,920.064611628606
"44",2690,1,"2011-01-01 00:00:00.0","ООО ""ЭНЕРГИЯ ХОЛДИНГ""","ENERHOLD","PENHOLD9","41",354457.179426076,892.640507153682
"45",2690,1,"2011-01-01 00:00:00.0","ООО ""ЭНЕРГИЯ ХОЛДИНГ""","ENERHOLD","PENHOL10","41",354566.393639075,911.967753904497
"46",2690,1,"2011-01-01 00:00:00.0","ООО ""ЭНЕРГИЯ ХОЛДИНГ""","ENERHOLD","PENHOL11","41",370504.889232824,910.296005620033
"47",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергокомфорт"". Карелия""","EKOMFORT","PENKOMF1","86",356210.767837738,953.694284893448
"48",2690,1,"2011-01-01 00:00:00.0","ОАО ""470 Электрическая сеть""","OAO470ES","PESVMF01","41",352952.114052277,898.645003751786
"49",2690,1,"2011-01-01 00:00:00.0","ОАО ""470 Электрическая сеть""","OAO470ES","PESVMF02","41",352355.32721408,877.252793355659
"50",2690,1,"2011-01-01 00:00:00.0","ОАО ""ГОРЭЛЕКТРОСЕТЬ"" (г.Кисловодск)","GORELKIS","PGELESKS","07",284610.412023137,1214.47896322146
"51",2690,1,"2011-01-01 00:00:00.0","ОАО ""Горэлектросеть"" г.Невинномысск","NEVNGORS","PGELSNV1","07",278610.155067902,1104.85702953426
"52",2690,1,"2011-01-01 00:00:00.0","ОАО ""Горэлектросеть"" г.Невинномысск","NEVNGORS","PGELSNV2","07",283160.383882284,1093.19772268502
"53",2690,1,"2011-01-01 00:00:00.0","МП ""Городские электрические сети"" (г.Ханты-Мансийск)","HANTGORS","PGORESHM","71",284594.593549031,951.451036588296
