"","TDATE","PNAME","PCODE","TCODE","REGION_CODE","REGION_NAME","ZSP_CODE","P_VC_UNREG_AVG","P_NC_UNREG_AVG"
"317",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR208","88","Республика Марий Эл","FZURKR12",1200.63,403300.66
"318",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR209","54","Орловская область","FZZNOE24",1146.77,175736.4
"319",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR210","33","Кировская область","FZURKR12",1164.41,416123.79
"320",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR211","22","Нижегородская область","FZZNOE24",1224.33,388275.88
"321",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR212","33","Кировская область","FZURKR12",1173.31,437480.08
"322",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR213","24","Ивановская область","FZZNOE24",1219.03,452669.84
"323",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR214","15","Брянская область","FZZNOE24",1201.21,154666.4
"324",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR217","86","Республика Карелия","FZSZOE27",1389.63,172123.33
"325",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR218","03","Краснодарский край","FZYUKU20",1748.44,588095.11
"326",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR220","29","Калужская область","FZZNOE24",1141.92,446211.42
"327",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR222","29","Калужская область","FZZNOE24",1178.18,413387.8
"328",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR223","70","Тульская область","FZZNOE24",1320.52,228023.01
"329",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR224","89","Республика Мордовия","FZVLOE13",1270.92,425631.06
"330",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR225","73","Ульяновская область","FZVLOE13",1182.11,461606.37
"331",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR226","29","Калужская область","FZZNOE24",1174.5,356398.08
"332",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR227","70","Тульская область","FZZNOE24",1443.6,593209.94
