TDATE;PCODE;PNAME;REGION_CODE;TCODE;P_NC_UNREG_AVG
2011-09-01;TATENERG;"ОАО ""Татэнергосбыт""";92;PTATENER;230604.7153
2011-09-01;GPTOLESB;"ОАО ""ТЭК"" (г.Тольятти)";36;PTEKOMP1;223991.43176
2011-09-01;TOLLENSB;"ООО ""ТЭС"" (г.Тольятти)";36;PTOLESB1;238076.74298
2011-09-01;TOLLENSB;"ООО ""ТЭС"" (г.Тольятти)";36;PTOLESB2;225209.11147
2011-09-01;TOMSKENE;"ОАО ""Томская энергосбытовая компания""";69;PTOMSKEN;133632.17078
2011-09-01;TOMSKENE;"ОАО ""Томская энергосбытовая компания""";69;PTOMSKES;224851.06048
2011-09-01;TOSKTOSK;"ОАО ""ТОСК""";68;PTOSKOM1;232687.30017
2011-09-01;TROIELST;"МУП ""Троицкая электросеть""";46;PTROELS1;250318.54675
2011-09-01;TULENERG;"ОАО ""ТСК"" (г.Тула)";70;PTULENER;229093.02365
2011-09-01;TUMENENE;"ОАО ""Тюменская энергосбытовая компания""";71;PTUMENEN;225761.06888
2011-09-01;TUMENESB;"ОАО ""Тюменьэнергосбыт""";71;PTUMREG1;227900.40494
2011-09-01;TUMENESB;"ОАО ""Тюменьэнергосбыт""";71;PTUMREG2;229630.73904
2011-09-01;TUMENESB;"ОАО ""Тюменьэнергосбыт""";71;PTUMREG3;227320.38469
2011-09-01;TUMENESB;"ОАО ""Тюменьэнергосбыт""";71;PTUMREG4;215880.49183
2011-09-01;TUMENESB;"ОАО ""Тюменьэнергосбыт""";71;PTUMREG5;226752.63682
2011-09-01;TUVASBYT;"ОАО ""Тываэнергосбыт""";93;PTUVENER;108506.8157
2011-09-01;TVERENER;"ОАО ""Тверьэнергосбыт""";28;PTVERENE;230556.21813
2011-09-01;TVEROBLE;"ООО ""Тверьоблэнергосбыт""";28;PTVOBSK1;231396.48092
2011-09-01;TVEROBLE;"ООО ""Тверьоблэнергосбыт""";28;PTVOBSK2;229363.1565
2011-09-01;TVEROBLE;"ООО ""Тверьоблэнергосбыт""";28;PTVOBSK3;230333.98872
2011-09-01;TVEROBLE;"ООО ""Тверьоблэнергосбыт""";28;PTVOBSK4;228475.64669
2011-09-01;UDMURTEN;"ОАО ""Удмуртская энергосбытовая компания""";94;PUDMURTE;220866.71018
2011-09-01;ULYANENE;"ОАО ""Ульяновскэнерго""";73;PULYANEN;223427.72039
2011-09-01;UGORTEKO;"ОАО ""ЮТЭК""";71;PUTEREK3;222491.37589
2011-09-01;UGORTEKO;"ОАО ""ЮТЭК""";71;PUTEREK5;223211.07505
2011-09-01;UGORTEKO;"ОАО ""ЮТЭК""";71;PUTEREK6;228821.29982
2011-09-01;VOLGAESB;"ЗАО ""Волгаэнергосбыт""";22;PVENESB1;231290.08458
2011-09-01;VITIMENS;"ЗАО ""Витимэнергосбыт""";25;PVITENSB;133555.06067
2011-09-01;VLADIMEN;"ОАО ""Владимирэнергосбыт""";17;PVLADIME;230981.27127
2011-09-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSI10;225345.1163
2011-09-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS1;225366.30851
2011-09-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS2;225031.22124
2011-09-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS3;230647.4121
2011-09-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS4;238255.1498
2011-09-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS5;226625.59273
2011-09-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS6;226314.49689
2011-09-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS7;230959.97795
2011-09-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS8;231368.88236
2011-09-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS9;226308.33912
2011-09-01;VOLGOGEN;"ОАО ""Волгоградэнергосбыт""";18;PVOLGOGE;228046.49083
2011-09-01;VOLOGENE;"ОАО ""Вологдаэнергосбыт""";19;PVOLOGEN;225042.26099
2011-09-01;VORNEGEN;"ОАО ""Воронежская энергосбытовая компания""";20;PVORNEGE;226923.45052
2011-09-01;ELSKVATT;"ООО ""Ватт-Электросбыт""";89;PWATTEL1;222056.90572
2011-09-01;YARENERG;"ОАО ""ЯСК""";78;PYARENER;229259.62655
2011-10-01;ABAKANSB;"ООО ""Абаканэнергосбыт""";95;PABAKSB1;123041.94064
2011-10-01;ABAKANSB;"ООО ""Абаканэнергосбыт""";95;PABAKSB2;122405.19114
2011-10-01;ALEKSNSB;"ООО ""Алексинэнергосбыт""";70;PALEKSB1;253219.95648
2011-10-01;ALTAIKEN;"ОАО ""Алтайкрайэнерго""";01;PALKRE10;267800.72933
2011-10-01;ALTAIKEN;"ОАО ""Алтайкрайэнерго""";01;PALKRE11;272013.66808
2011-10-01;ALTAIKEN;"ОАО ""Алтайкрайэнерго""";01;PALKRE12;150148.56087
2011-10-01;ALTAIKEN;"ОАО ""Алтайкрайэнерго""";01;PALKRE13;274997.22981
2011-10-01;ALTAIKEN;"ОАО ""Алтайкрайэнерго""";01;PALKRE14;269910.01182
2011-10-01;ALTAIKEN;"ОАО ""Алтайкрайэнерго""";01;PALKRE15;274797.48165
2011-10-01;ALTAIKEN;"ОАО ""Алтайкрайэнерго""";01;PALKREN1;272399.47597
2011-10-01;ALTAIKEN;"ОАО ""Алтайкрайэнерго""";01;PALKREN2;276423.87311
2011-10-01;ALTAIKEN;"ОАО ""Алтайкрайэнерго""";01;PALKREN3;271675.56942
2011-10-01;ALTAIKEN;"ОАО ""Алтайкрайэнерго""";01;PALKREN4;266624.94394
2011-10-01;ALTAIKEN;"ОАО ""Алтайкрайэнерго""";01;PALKREN5;155417.38097
2011-10-01;ALTAIKEN;"ОАО ""Алтайкрайэнерго""";01;PALKREN6;276168.60905
2011-10-01;ALTAIKEN;"ОАО ""Алтайкрайэнерго""";01;PALKREN7;268488.49728
2011-10-01;ALTAIKEN;"ОАО ""Алтайкрайэнерго""";01;PALKREN8;272003.18884
2011-10-01;ALTAIKEN;"ОАО ""Алтайкрайэнерго""";01;PALKREN9;268908.67179
2011-10-01;ALTAENSB;"ОАО ""Алтайэнергосбыт""";01;PALTENER;250043.04999
2011-10-01;ALTAENSB;"ОАО ""Алтайэнергосбыт""";84;PALTRESP;273227.83107
2011-10-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK1;254772.7773
2011-10-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK2;255426.07929
2011-10-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK3;252481.50734
2011-10-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK4;254166.32611
2011-10-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK5;261491.28283
2011-10-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK6;255194.52067
2011-10-01;ASTRHENE;"ОАО ""Астраханская энергосбытовая компания""";12;PASTRHEN;239970.9016
2011-10-01;BALASHEL;"ЗАО ""БЭЛС"" (г.Балашиха)";46;PBALEST1;270097.14302
2011-10-01;BARNGORS;"ОАО ""БГЭС"" (г.Барнаул)";01;PBARELS1;275143.95708
2011-10-01;BASHKESK;"ООО ""ЭСКБ""";80;PBASHENE;247242.32345
2011-10-01;BELGOREN;"ОАО ""Белгородская сбытовая компания""";14;PBELGORE;248739.72476
2011-10-01;MPBORISO;"МУП ""БЭСО"" Борисоглебского городского округа Воронежской области";20;PBORESB1;248148.0388
2011-10-01;BRYANENE;"ОАО ""Брянскэнергосбыт""";15;PBRYANEN;247109.27177
2011-10-01;BUDELSET;"МУП г.Буденновска ""Горэлектросеть""";07;PBUDGORS;245836.7314
2011-10-01;BURYATEN;"ОАО ""Бурятэнергоcбыт""";81;PBURYATE;156020.87113
2011-10-01;CHELENER;"ОАО ""Челябэнергосбыт""";75;PCHELENE;248777.12875
2011-10-01;CHITAENE;"ОАО ""Читинская энергосбытовая компания""";76200;PCHITAEN;325550.03533
2011-10-01;CHUVENER;"ОАО ""Чувашская энергосбытовая компания""";97;PCHUVENE;249151.57685
2011-10-01;DAGESBYT;"ОАО ""Дагестанская энергосбытовая компания""";82;PDAGENER;180716.2997
2011-10-01;EKATSBKO;"ОАО ""ЕЭнС"" (г.Екатеринбург)";65;PEKELSK1;250455.3024
2011-10-01;ELSETMYT;"ОАО ""Электросеть"" (г.Мытищи)";46;PELSETMT;272748.12375
2011-10-01;EKOMFORT;"ООО ""Энергокомфорт"". Карелия""";86;PENKOMF1;275108.2969
2011-10-01;OAO470ES;"ОАО ""470 ЭС""";41;PESVMF01;271314.63896
2011-10-01;OAO470ES;"ОАО ""470 ЭС""";41;PESVMF02;269366.72178
2011-10-01;GORELKIS;"ОАО ""ГОРЭЛЕКТРОСЕТЬ"" (г.Кисловодск)";07;PGELESKS;244840.95088
2011-10-01;NEVNGORS;"ОАО ""Горэлектросеть"" г.Невинномысск";07;PGELSNV1;242279.58335
2011-10-01;NEVNGORS;"ОАО ""Горэлектросеть"" г.Невинномысск";07;PGELSNV2;239098.39249
2011-10-01;HANTGORS;"МП ""ГЭС"" (г.Ханты-Мансийск)";71;PGORESHM;247738.47073
2011-10-01;HAKASENE;"ОАО ""Хакасэнергосбыт""";95;PHAKASEN;122813.34157
2011-10-01;INGUSHEN;"ОАО ""Ингушэнерго""";26;PINGUSHE;184327.28468
2011-10-01;IRKUTSBT;"ООО ""Иркутскэнергосбыт""";25;PIRKUTEN;158631.43603
2011-10-01;IVELSETI;"МУП ""Ивантеевские Электросети""";46;PIVANTES;273299.66649
2011-10-01;IVENERGO;"ОАО ""Ивэнергосбыт""";24;PIVENERG;251860.1556
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS10;269889.53636
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS11;253617.51889
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS12;260639.98463
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS13;250651.23923
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS14;225968.44235
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS15;251390.70323
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS16;265566.47657
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS17;247340.42942
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS18;250141.40341
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS19;466818.06703
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENS20;251622.43054
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK1;250722.25467
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK2;250880.09785
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK3;251290.39689
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK4;224891.29311
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK5;250594.96447
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK6;238094.74268
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK7;253413.27958
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK8;251346.68196
2011-10-01;IVENERSK;"ООО ""Энергосетевая компания""";24;PIVENSK9;249286.50374
2011-10-01;KABBAGEN;"ОАО ""Каббалкэнерго""";83;PKABBAGE;201044.21464
2011-10-01;KALMENER;"ОАО ""Калмэнергосбыт""";85;PKALMENE;248178.64059
2011-10-01;KALUGENE;"ОАО ""Калужская сбытовая компания""";29;PKALUGEN;249658.63186
2011-10-01;KARELENE;"ОАО ""Карельская энергосбытовая компания""";86;PKARELEN;275017.68917
2011-10-01;KCHERKEN;"ОАО ""Карачаево-Черкесскэнерго""";91;PKCHERKE;210940.10778
2011-10-01;KIROVENE;"ОАО ""Кировэнергосбыт""";33;PKIROVEN;241625.03773
2011-10-01;KOLENERG;"ОАО ""Колэнергосбыт""";47;PKOLENER;253114.51763
2011-10-01;KOROLSET;"ОАО ""Королевская электросеть СК""";46;PKORELS1;272410.08515
2011-10-01;KOSTRENE;"ОАО ""Костромская сбытовая компания""";34;PKOSTREN;247897.84082
2011-10-01;KRASNGOR;"ОАО ""КЭС"" (г.Красногорск)";46;PKRAELS1;276828.23405
2011-10-01;KRASNOEN;"ОАО ""Красноярскэнергосбыт""";04;PKRASNEN;154979.5116
2011-10-01;KUBANESK;"ОАО ""Кубаньэнергосбыт""";03;PKUBANEN;268127.20335
2011-10-01;KURGENRG;"ОАО ""Энергосбыт"" (г.Курган)";37;PKURGANE;247352.96265
2011-10-01;KURSKENE;"ОАО ""Курскрегионэнергосбыт""";38;PKURSKEN;245223.43345
2011-10-01;KUZBSBYT;"ОАО ""Кузбассэнергосбыт""";32;PKUZBENE;167513.50174
2011-10-01;LENENERG;"ОАО ""Петербургская сбытовая компания""";41;PLENENER;275742.4928
2011-10-01;GORODESK;"ООО ""ГЭСК"" (г.Липецк)";42;PLGORSB1;254412.84667
2011-10-01;LIPECKEN;"ОАО ""ЛЭСК"" (г.Липецк)";42;PLIPECKE;250128.9612
2011-10-01;MAGNENKO;"ООО ""МЭК"" (г.Магнитогорск)";75;PMAGENKO;253803.27157
2011-10-01;MARIENER;"ОАО ""Мариэнергосбыт""";88;PMARIENE;248567.90282
2011-10-01;METALENE;"ООО ""Металлэнергофинанс""";32;PMETALEN;183429.02756
2011-10-01;MORDOVEN;"ОАО ""Мордовская энергосбытовая компания""";89;PMORDOVE;244495.98666
2011-10-01;MOSENERG;"ОАО ""Мосэнергосбыт""";46;PMOSENER;272769.60999
2011-10-01;RUSENSBM;"ООО ""ЭНЕРГОСБЫТХОЛДИНГ""";46;PMRUSGD1;272740.41994
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKR10;240049.87056
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKR11;237556.08546
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKR12;240806.60941
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKR13;238277.94034
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKR14;424501.21855
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKR15;237975.71577
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKR16;233494.11864
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKR17;239302.70661
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKR18;239426.74804
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKR19;240637.48524
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKR21;261524.90503
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKR22;254946.64681
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKR23;257329.22052
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKR25;207079.8086
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKRA1;255095.36201
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKRA2;236113.53689
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKRA3;236470.55135
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKRA4;238615.4175
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKRA5;260361.89665
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKRA6;239737.24352
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKRA7;239795.57717
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKRA8;253358.18695
2011-10-01;NESKKRSN;"ОАО ""НЭСК"" (г.Краснодар)";03;PNESKRA9;238159.6972
2011-10-01;NIGNOVEN;"ОАО ""Нижегородская сбытовая компания""";22;PNIGNOVE;248912.54978
2011-10-01;NOVMOSSK;"ООО ""НЭСК"" (г.Новомосковск)";70;PNOMESK1;248890.63161
2011-10-01;NOVGOREN;"ОАО ""Новгородоблэнергосбыт""";49;PNOVGORE;274420.44619
2011-10-01;SBRENERG;"ОАО ""СибирьЭнерго""";50;PNOVOSIB;156566.81857
2011-10-01;NOVOYRAL;"ООО ""НУЭСК"" (г.Новоуральск)";65;PNUESBK1;250426.55681
2011-10-01;NURENERG;"ОАО ""Нурэнерго""";96;PNURENER;134235.38776
2011-10-01;OOONESKO;"ООО ""НЭСКО"" (г.Нижневартовск)";71;PNVAREK1;240581.19135
2011-10-01;OBESPRFC;"ОАО ""Обеспечение РФЯЦ-ВНИИЭФ""";22;POBESPE1;250694.49236
2011-10-01;ISTRSETI;"Муниципальное унитарное предприятие Истринского муниципального района ""Объединение ""Истринские электросети""";46;POISTRS1;270566.96586
2011-10-01;ISTRSETI;"Муниципальное унитарное предприятие Истринского муниципального района ""Объединение ""Истринские электросети""";46;POISTRS2;271749.29491
2011-10-01;OMSKENER;"ОАО ""Омскэнергосбыт""";52;POMSKENE;210428.577
2011-10-01;OMSKENER;"ОАО ""Омскэнергосбыт""";52;POMSKEZN;254923.31972
2011-10-01;ORELENER;"ОАО ""Орелэнергосбыт""";54;PORELENE;248536.66991
2011-10-01;ORENBENE;"ОАО ""Оренбургэнергосбыт""";53;PORENBEN;250172.87929
2011-10-01;ORSELSBT;"ЗАО ""Оренбургсельэнергосбыт""";53;PORENSL1;243384.66009
2011-10-01;ORSELSBT;"ЗАО ""Оренбургсельэнергосбыт""";53;PORENSL2;252775.39181
2011-10-01;ORSELSBT;"ЗАО ""Оренбургсельэнергосбыт""";53;PORENSL3;245357.66296
2011-10-01;ORSELSBT;"ЗАО ""Оренбургсельэнергосбыт""";53;PORENSL4;239219.95936
2011-10-01;ORSELSBT;"ЗАО ""Оренбургсельэнергосбыт""";53;PORENSL5;248250.69909
2011-10-01;PENZAENE;"ОАО ""Пензаэнергосбыт""";56;PPENZAEN;242370.28703
2011-10-01;PERMENER;"ОАО ""Пермэнергосбыт""";57;PPERMENE;245902.47282
2011-10-01;PSKOVENE;"ОАО ""Псковэнергосбыт""";58;PPSKOVEN;274580.15521
2011-10-01;PYATELSE;"ОАО ""ПЭС"" (г.Пятигорск)";07;PPYATELS;244441.53563
2011-10-01;REKKURSK;"ООО ""РЭК""";38;PREKKUR1;246341.36567
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL10;277929.98614
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL11;269628.66146
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL12;274468.02558
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL13;282596.18338
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL14;200022.4558
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL15;272303.66424
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL16;396838.29586
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL17;272104.4263
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL18;270248.30946
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO1;276915.93445
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO2;271664.43929
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO3;267688.96019
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO4;275647.69245
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO5;275245.69362
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO6;272494.97892
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO7;264290.56459
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO8;275921.35334
2011-10-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO9;272761.79482
2011-10-01;ROSKOMEN;"ОАО ""Роскоммунэнерго""";65;PROSKOM1;251816.34806
2011-10-01;ROSTOVEN;"ОАО ""Энергосбыт Ростовэнерго""";60;PROSTOVE;248854.19427
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";18;PRUSGD01;250165.04313
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";89;PRUSGD03;245022.37209
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";33;PRUSGD07;242282.60228
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";18;PRUSGD13;247702.3513
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";18;PRUSGD24;246777.43316
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";18;PRUSGD25;250092.95881
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";18;PRUSGD26;239215.73579
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";18;PRUSGD27;246025.74343
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";18;PRUSGD29;247369.38557
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";12;PRUSGD35;240442.16326
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";46;PRUSGD36;272826.43896
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";22;PRUSGD37;250970.48457
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";53;PRUSGD38;250454.39178
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";63;PRUSGD39;249767.46609
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";75;PRUSGD40;250037.08607
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";78;PRUSGD47;254544.91116
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";34;PRUSGD49;251385.89444
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";25;PRUSGD52;157181.5469
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";47;PRUSGDKL;254385.19195
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";41;PRUSGDLE;275354.08012
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";86;PRUSGDRK;278098.77996
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";95;PRUSGDS2;138272.30302
2011-10-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";17;PRUSGDVL;252564.72923
2011-10-01;RYAZENGR;"ООО ""РГМЭК"" (г.Рязань)";61;PRYAZEL1;249707.00459
2011-10-01;RYAZENER;"ОАО ""РЭСК"" (г.Рязань)";61;PRYAZENE;256054.34881
2011-10-01;SAMARAEN;"ОАО ""Самараэнерго""";36;PSAMARAE;244765.77663
2011-10-01;SAMGESGP;"ЗАО ""СамГЭС"" (г.Самара)";36;PSAMELS1;245293.82415
2011-10-01;SARATENE;"ОАО ""Саратовэнерго""";63;PSARATEN;246202.93393
2011-10-01;SARGORES;"ООО ""СПГЭС""";63;PSARELS1;249111.31804
2011-10-01;SEVKAVEN;"ОАО ""Севкавказэнерго""";90;PSEVKAVE;209234.80696
2011-10-01;SEVEREKO;"ОАО ""Северная энергетическая компания""";71;PSEVKOM1;243376.73706
2011-10-01;SMOLENER;"ОАО ""Смоленскэнергосбыт""";66;PSMOLENE;248345.9534
2011-10-01;STAVRENE;"ОАО ""Ставропольэнергосбыт""";07;PSTAVREN;240984.86104
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOM10;244812.05833
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOM11;244560.90454
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOM12;244279.39767
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOM13;240270.36949
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOM14;248748.83994
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOM15;237749.69715
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOM16;243221.76754
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOM17;241350.99371
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOM18;244697.58933
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOM19;242273.24175
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOM20;242364.02502
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOM21;232249.52321
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOME1;246118.12987
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOME2;243367.30765
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOME3;240302.83354
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOME4;239950.69349
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOME5;239377.11389
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOME6;253208.70272
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOME7;242989.65863
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOME8;242747.48347
2011-10-01;STAVRKOM;"ГУП СК ""Ставрополькоммунэлектро""";07;PSTKOME9;241234.3138
2011-10-01;SVERDLEN;"ОАО ""Свердловэнергосбыт""";65;PSVERDLE;258862.97036
2011-10-01;TAMBOVEN;"ОАО ""Тамбовская энергосбытовая компания""";68;PTAMBOVE;248545.58002
2011-10-01;TATENERG;"ОАО ""Татэнергосбыт""";92;PTATENER;247254.27015
2011-10-01;GPTOLESB;"ОАО ""ТЭК"" (г.Тольятти)";36;PTEKOMP1;245864.81746
2011-10-01;TOLLENSB;"ООО ""ТЭС"" (г.Тольятти)";36;PTOLESB1;242652.45188
2011-10-01;TOLLENSB;"ООО ""ТЭС"" (г.Тольятти)";36;PTOLESB2;243222.99835
2011-10-01;TOMSKENE;"ОАО ""Томская энергосбытовая компания""";69;PTOMSKEN;157474.84807
2011-10-01;TOMSKENE;"ОАО ""Томская энергосбытовая компания""";69;PTOMSKES;243422.89242
