TDATE;PCODE;PNAME;REGION_CODE;TCODE;P_NC_UNREG_AVG
2011-01-01;KIROVENE;"ОАО ""Кировэнергосбыт""";33;PKIROVEN;270412.1114
2011-01-01;KOLENERG;"ОАО ""Кольская энергосбытовая компания""";47;PKOLENER;304936.99751
2011-01-01;KOROLSET;"ОАО ""Королевская электросеть СК""";46;PKORELS1;318735.3423
2011-01-01;KOSTRENE;"ОАО ""Костромская сбытовая компания""";34;PKOSTREN;277200.73002
2011-01-01;KRASNGOR;"ОАО ""Красногорская электрическая сеть""";46;PKRAELS1;319118.38653
2011-01-01;KRASNOEN;"ОАО ""Красноярскэнергосбыт""";04;PKRASNEN;163937.62673
2011-01-01;KUBANESK;"ОАО ""Кубанская энергосбытовая компания""";03;PKUBANEN;296525.97591
2011-01-01;KURGENRG;"ОАО ""Энергосбыт"" (г.Курган)";37;PKURGANE;275984.99251
2011-01-01;KURSKENE;"ОАО ""Курская энергосбытовая компания""";38;PKURSKEN;288782.72498
2011-01-01;KUZBSBYT;"ОАО ""Кузбассэнергосбыт""";32;PKUZBENE;186404.15228
2011-01-01;LENENERG;"ОАО ""Петербургская сбытовая компания""";41;PLENENER;355775.12701
2011-01-01;GORODESK;"ООО ""Городская энергосбытовая компания"" (г.Липецк)";42;PLGORSB1;287510.58493
2011-01-01;LIPECKEN;"ОАО ""Липецкая энергосбытовая компания""";42;PLIPECKE;281369.49899
2011-01-01;MAGNENKO;"ООО ""Магнитогорская энергетическая компания""";75;PMAGENKO;274469.39353
2011-01-01;MARIENER;"ОАО ""Мариэнергосбыт""";88;PMARIENE;312716.93394
2011-01-01;METALENE;"ООО ""Металлэнергофинанс""";32;PMETALEN;206382.14332
2011-01-01;MORDOVEN;"ОАО ""Мордовская энергосбытовая компания""";89;PMORDOVE;269418.54571
2011-01-01;MOSENERG;"ОАО ""Мосэнергосбыт""";46;PMOSENER;316291.01058
2011-01-01;RUSENSBM;"ООО ""РУСЭНЕРГОСБЫТ М""";46;PMRUSGD1;311918.2886
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKR10;269251.02362
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKR11;268604.78292
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKR12;270065.57777
